PMID            | GT    | Pred  | TP   
27667560        | 68    | 5     | 0    
27667643        | 34    | 8     | 0    
27668722        | 52    | 15    | 6    
27669217        | 53    | 17    | 5    
27669669        | 89    | 10    | 1    
27671177        | 50    | 11    | 3    
27671789        | 53    | 8     | 2    
27676724        | 70    | 11    | 1    
27678020        | 32    | 3     | 0    
27678044        | 38    | 12    | 3    
27680006        | 67    | 17    | 0    
27680598        | 56    | 11    | 3    
27681567        | 55    | 10    | 1    
27685187        | 59    | 10    | 1    
27686952        | 30    | 8     | 1    
27688111        | 60    | 17    | 3    
27689491        | 45    | 7     | 0    
27690568        | 30    | 10    | 1    
27692319        | 78    | 8     | 1    
27694780        | 43    | 12    | 1    
27695680        | 37    | 2     | 1    
27697757        | 82    | 15    | 5    
27699206        | 45    | 4     | 0    
27699590        | 106   | 24    | 6    
27701287        | 50    | 7     | 0    
27702870        | 48    | 8     | 0    
27703752        | 48    | 8     | 3    
27708411        | 48    | 5     | 2    
27709647        | 66    | 17    | 4    
27710934        | 37    | 11    | 0    
27714135        | 37    | 11    | 0    
27715500        | 47    | 9     | 1    
27717775        | 66    | 8     | 3    
27722201        | 45    | 9     | 1    
27722881        | 65    | 11    | 7    
27723907        | 36    | 4     | 0    
27724977        | 85    | 16    | 1    
27727312        | 68    | 21    | 0    
27729085        | 52    | 9     | 2    
27732552        | 53    | 11    | 1    
27732647        | 77    | 7     | 1    
27732923        | 43    | 9     | 1    
27742350        | 67    | 3     | 0    
27743686        | 63    | 20    | 0    
27745564        | 63    | 10    | 0    
27750105        | 50    | 17    | 2    
27753022        | 73    | 12    | 6    
27756117        | 77    | 17    | 0    
27757318        | 51    | 12    | 1    
27759568        | 39    | 9     | 2    
27759877        | 21    | 4     | 4    
27760149        | 68    | 9     | 2    
27761213        | 60    | 12    | 2    
27762482        | 24    | 8     | 2    
27764714        | 57    | 8     | 1    
27764968        | 37    | 15    | 1    
27765873        | 54    | 13    | 1    
27766173        | 58    | 16    | 8    
27766286        | 35    | 11    | 1    
27768206        | 44    | 9     | 1    
27768380        | 64    | 7     | 0    
27771331        | 31    | 4     | 2    
27771746        | 70    | 18    | 2    
27772556        | 68    | 8     | 0    
27773614        | 78    | 6     | 3    
27778231        | 87    | 11    | 5    
27779321        | 54    | 16    | 1    
27779702        | 69    | 12    | 1    
27781034        | 43    | 10    | 7    
27782044        | 18    | 8     | 0    
27782129        | 46    | 18    | 2    
27784873        | 37    | 13    | 4    
27786249        | 44    | 15    | 3    
27786291        | 82    | 12    | 2    
27788142        | 45    | 14    | 1    
27790175        | 62    | 6     | 0    
27791169        | 63    | 28    | 3    
27791362        | 76    | 19    | 0    
27791364        | 64    | 11    | 1    
27793144        | 33    | 13    | 0    
27793568        | 29    | 2     | 1    
27794068        | 60    | 7     | 1    
27794381        | 94    | 18    | 6    
27796450        | 80    | 14    | 2    
27796510        | 69    | 6     | 1    
27796974        | 51    | 4     | 0    
27797717        | 58    | 14    | 4    
27798219        | 71    | 8     | 6    
27798906        | 43    | 6     | 1    
27799314        | 63    | 15    | 8    
27799834        | 36    | 12    | 0    
