PMID            | GT    | Pred  | TP   
27601238        | 49    | 13    | 0    
27601292        | 56    | 7     | 2    
27601594        | 66    | 25    | 13   
27602300        | 77    | 15    | 1    
27603112        | 71    | 13    | 3    
27604152        | 76    | 24    | 0    
27606547        | 16    | 3     | 0    
27607871        | 31    | 9     | 3    
27608421        | 83    | 13    | 2    
27608968        | 29    | 11    | 5    
27609556        | 71    | 10    | 1    
27609916        | 15    | 7     | 0    
27611704        | 37    | 9     | 0    
27612561        | 95    | 12    | 1    
27614652        | 52    | 9     | 0    
27616047        | 51    | 10    | 5    
27616751        | 41    | 10    | 0    
27617108        | 102   | 27    | 1    
27617315        | 48    | 10    | 5    
27621200        | 52    | 16    | 0    
27622027        | 97    | 24    | 13   
27622771        | 68    | 9     | 0    
27623277        | 53    | 10    | 2    
27629431        | 70    | 15    | 4    
27631550        | 74    | 14    | 3    
27633344        | 59    | 13    | 1    
27634305        | 46    | 13    | 3    
27635073        | 71    | 23    | 4    
27636509        | 54    | 8     | 1    
27637577        | 69    | 22    | 8    
27642330        | 64    | 14    | 2    
27643901        | 15    | 11    | 1    
27645371        | 36    | 9     | 2    
27645763        | 46    | 9     | 0    
27647760        | 73    | 20    | 2    
27648525        | 44    | 18    | 3    
27649824        | 55    | 6     | 0    
27650225        | 82    | 26    | 4    
27650462        | 44    | 8     | 3    
27651955        | 40    | 12    | 3    
27651975        | 55    | 14    | 3    
27652926        | 65    | 9     | 0    
27653010        | 85    | 19    | 1    
27655308        | 58    | 24    | 0    
27655319        | 49    | 8     | 3    
27659183        | 60    | 12    | 0    
27659547        | 39    | 12    | 2    
27659602        | 76    | 12    | 0    
27660194        | 57    | 26    | 3    
27660632        | 74    | 27    | 0    
27667559        | 66    | 20    | 5    
27667560        | 68    | 7     | 1    
27667643        | 34    | 7     | 0    
27668722        | 52    | 17    | 6    
27669217        | 53    | 19    | 1    
27669669        | 89    | 15    | 2    
27671177        | 50    | 11    | 2    
27671789        | 53    | 11    | 1    
27676724        | 70    | 15    | 3    
27678020        | 32    | 9     | 0    
27678044        | 38    | 11    | 1    
27680006        | 67    | 20    | 1    
27680598        | 56    | 10    | 4    
27681567        | 55    | 19    | 4    
27685187        | 59    | 15    | 1    
27686952        | 30    | 7     | 0    
27688111        | 60    | 19    | 7    
27689491        | 45    | 6     | 0    
27690568        | 30    | 10    | 1    
27692319        | 78    | 13    | 4    
27694780        | 43    | 19    | 4    
27695680        | 37    | 2     | 1    
27697757        | 82    | 18    | 11   
27699206        | 45    | 10    | 0    
27699590        | 106   | 35    | 10   
27701287        | 50    | 13    | 5    
27702870        | 48    | 8     | 0    
27703752        | 48    | 10    | 5    
27708411        | 48    | 16    | 2    
27709647        | 66    | 24    | 4    
27710934        | 37    | 13    | 1    
27714135        | 37    | 15    | 2    
27715500        | 47    | 17    | 1    
